psraid,sample,cnvtsmp,lang,form,usr,usr1,cregion,density3,qs1,rsex,DriverText,DriverDanger,TeenText,TeenTalked,RegretText,Monitored,Spam,SleptPhone,Harassed,SendSext,ReceiveSext
100213,1,1,1,2,S,2,3,3, ,1,N,Y,N,Y,2,1,1,1,2,2,2
100436,1,1,1,1,S,2,3,3, ,2,N,Y,N,N,1,2,1,1,2,2,2
100615,1,1,1,1,U,1,2,3, ,2,N,Y,N,N,2,2,2,1,2,2,2
101445,1,1,1,1,S,2,1,3, ,2,N,N,N,N,1,2,2,1,2,2,1
101605,1,1,1,2,S,2,2,4, ,2,N,N,N,N,1,2,1,1,2,2,2
101659,1,1,1,1,R,3,2,1, ,1,N,N,N,Y,1,2,1,1,2,1,1
101813,1,1,1,2,S,2,4,2, ,2,N,N,N,N,2,2,2,1,2,2,1
101949,1,1,1,1,U,1,4,4, ,1,N,Y,N,N,2,2,2,2,2,2,1
101988,1,1,1,2,S,2,2,3, ,1,N,N,N,N,1,2,1,1,1,2,2
102035,1,1,1,1,S,2,3,3, ,2,N,N,N,N,1,2,1,1,2,2,2
102393,1,1,1,1,S,2,3,2, ,2,N,Y,N,N,1,2,2,1,2,2,2
102665,1,1,1,2,S,2,1,3, ,1,N,N,N,N,2,2,1,1,2,2,2
102987,1,1,1,1,U,1,2,2, ,2,N,Y,N,N,2,2,1,1,2,2,2
102998,1,1,1,1,R,3,3,1, ,1,N,N,N,N,1,2,1,1,1,2,1
103072,1,1,1,1,R,3,2,1, ,1,N,N,N,Y,2,2,1,1,1,2,2
103145,1,1,1,2,S,2,1,5, ,2,N,Y,N,N,1,2,2,1,2,2,2
103626,1,1,1,2,R,3,3,1, ,2,N,N,N,N,2,2,2,1,2,2,2
103874,1,1,1,1,R,3,3,2, ,2,N,Y,N,Y,1,2,1,1,1,2,2
103987,1,1,1,2,U,1,3,4, ,2,N,N,N,N,1,2,1,1,1,2,2
104324,1,1,1,2,U,1,4,5, ,2,N,N,N,N,2,2,1,1,2,2,2
104382,1,1,1,1,S,2,3,2, ,2,N,Y,N,N,2,2,2,2,1,2,2
104429,1,1,1,2,S,2,1,2, ,2,N,N,N,N,1,1,1,1,2,2,2
104810,1,1,1,2,U,1,4,1, ,2,N,N,N,N,1,2,1,1,1,2,1
104868,1,1,1,1,R,3,2,1, ,2,N,N,N,N,1,2,1,1,2,2,2
104895,1,1,1,2,U,1,4,2, ,2,N,N,N,N,1,2,1,1,1,1,1
104964,1,1,1,2,U,1,3,2, ,2,N,Y,N,N,1,2,1,1,2,2,2
105154,1,1,1,1,R,3,3,1, ,2,N,N,N,N,1,2,2,1,1,1,1
105283,1,1,1,2,S,2,2,1, ,2,N,N,N,N,1,2,1,1,1,2,2
105434,1,1,1,2,S,2,3,2, ,1,N,N,N,N,2,2,2,1,2,2,2
105726,1,1,1,2,U,1,2,2, ,1,N,Y,N,N,1,2,1,1,2,2,2
105950,1,1,1,2,S,2,2,3, ,2,N,N,N,N,1,1,2,1,2,2,2
106006,1,1,1,2,R,3,2,1, ,1,N,Y,N,N,1,1,1,1,1,2,1
106013,1,1,1,1,R,3,3,1, ,2,N,N,N,N,1,1,2,1,1,2,2
106052,1,1,1,1,S,2,3,3, ,1,N,Y,N,N,2,2,1,1,2,2,2
106244,1,1,1,1,S,2,1,2, ,2,N,N,N,N,1,2,1,1,2,2,2
106390,1,1,1,2,S,2,2,2, ,2,N,N,N,N,1,2,1,1,2,2,2
106437,1,1,1,1,R,3,3,1, ,1,N,N,N,N,1,8,1,1,2,2,2
106571,1,1,1,2,S,2,2,4, ,1,N,Y,N,N,1,2,1,2,2,2,2
106583,1,1,1,2,R,3,3,1, ,1,N,N,N,N,1,2,1,1,1,1,1
106596,1,1,1,1,R,3,3,1, ,1,N,N,N,N,2,2,1,1,2,2,1
106893,1,1,1,1,U,1,4,1, ,1,N,Y,N,N,1,2,1,1,2,2,2
106907,1,1,1,1,S,2,2,3, ,1,N,N,N,Y,2,2,1,1,2,1,2
107214,1,1,1,2,U,1,3,3, ,1,N,Y,N,N,1,2,1,1,1,2,1
107523,1,1,1,2,R,3,4,3, ,1,N,N,N,N,1,2,2,1,2,2,2
107612,1,1,1,2,S,2,3,2, ,2,N,Y,N,N,1,2,2,1,1,2,2
107683,1,1,1,1,R,3,4,1, ,2,N,N,N,N,2,1,1,1,2,2,2
108015,1,1,1,2,S,2,3,3, ,2,N,N,N,N,1,2,1,1,1,2,2
108422,1,1,1,1,S,2,1,1, ,2,N,N,N,N,2,1,1,1,1,2,2
108846,1,1,1,2,U,1,4,2, ,2,N,N,N,Y,1,2,2,1,2,2,2
109176,1,1,1,2,R,3,4,1, ,2,N,Y,N,N,2,2,1,1,2,2,2
109240,1,1,1,2,S,2,4,4, ,2,N,Y,N,N,2,2,1,1,2,2,1
109497,1,1,1,2,S,2,3,2, ,2,N,N,N,N,1,2,2,1,2,2,1
109567,1,1,1,2,S,2,2,3, ,1,N,Y,N,N,1,2,2,1,2,2,2
110396,1,1,1,1,S,2,3,1, ,1,N,Y,N,N,2,2,1,1,2,2,2
110593,1,1,1,2,S,2,3,3, ,1,N,N,N,N,1,1,2,1,1,2,1
111633,1,1,1,2,S,2,3,2, ,1,N,N,N,N,1,2,1,1,2,2,1
